avg	smoch	horni	spodni	time
29.26470187	0.160831235	29.42553311	29.10387064	0
29.35760578	0.236802601	29.59440838	29.12080318	0.03735045
29.26986322	0.156422852	29.42628608	29.11344037	0.074648267
29.39631551	0.190863827	29.58717933	29.20545168	0.11195375
29.41696091	0.215234463	29.63219537	29.20172644	0.1493437
29.41954197	0.188123061	29.60766503	29.23141891	0.186782683
29.39115455	0.157948234	29.54910278	29.23320632	0.224423183
29.47631643	0.287995409	29.76431184	29.18832102	0.26195065
29.51760683	0.290665198	29.80827203	29.22694163	0.299426617
29.46341305	0.271938512	29.73535156	29.19147454	0.33692455
29.48921941	0.279665369	29.76888478	29.20955404	0.374420433
29.56405898	0.217909378	29.78196836	29.3461496	0.411949567
29.62341371	0.336239293	29.95965301	29.28717442	0.449408233
29.68276924	0.32901132	30.01178056	29.35375792	0.486957233
29.73438234	0.349715173	30.08409751	29.38466717	0.52433085
29.66212384	0.3618083	30.02393214	29.30031554	0.561862133
29.66470451	0.355663363	30.02036788	29.30904115	0.599314533
29.65696249	0.369530524	30.02649301	29.28743196	0.63691075
29.67760789	0.376670514	30.0542784	29.30093737	0.674427617
29.72664071	0.381082527	30.10772324	29.34555818	0.711946667
29.77825381	0.419831206	30.19808502	29.35842261	0.749482983
29.76535083	0.365926417	30.13127725	29.39942441	0.787039367
29.81954422	0.399077618	30.21862184	29.4204666	0.824501533
29.81696394	0.389551708	30.20651564	29.42741223	0.86209575
29.81696394	0.382391005	30.19935494	29.43457293	0.8995653
29.82212528	0.392820468	30.21494575	29.42930482	0.937146167
29.82212489	0.408609517	30.23073441	29.41351537	0.974656833
29.76018948	0.380977658	30.14116714	29.37921182	1.012224017
29.82470557	0.361237712	30.18594328	29.46346785	1.049747333
29.88406109	0.309507451	30.19356854	29.57455364	1.087260933
29.86599636	0.329840698	30.19583706	29.53615567	1.1246129
29.9150284	0.438515429	30.35354383	29.47651297	1.161955583
29.98212595	0.382826216	30.36495216	29.59929973	1.1992657
30.01309365	0.407662968	30.42075662	29.60543068	1.236551667
30.01309365	0.397907621	30.41100127	29.61518603	1.2738897
29.9563192	0.431487794	30.38780699	29.5248314	1.3111287
30.02083568	0.370448457	30.39128413	29.65038722	1.3484834
29.98986758	0.399877745	30.38974532	29.58998983	1.385904033
30.02599703	0.412696247	30.43869327	29.61330078	1.42325545
29.98986758	0.361660982	30.35152856	29.6282066	1.4605374
30.05696512	0.411403245	30.46836837	29.64556188	1.497780617
29.99502893	0.371166918	30.36619584	29.62386201	1.535064067
30.0389004	0.403062752	30.44196315	29.63583765	1.572411433
29.98212555	0.385772298	30.36789785	29.59635326	1.609657783
30.0801908	0.329578052	30.40976886	29.75061275	1.646941
30.06728782	0.354876052	30.42216388	29.71241177	1.6842266
29.98986797	0.356934443	30.34680241	29.63293353	1.721514383
30.11632025	0.381676259	30.49799651	29.73464399	1.758776767
30.08793283	0.313908291	30.40184112	29.77402454	1.796065917
30.1318043	0.351292238	30.48309654	29.78051206	1.833424917
30.1008362	0.320209781	30.42104598	29.78062642	1.870804883
30.06728743	0.283637545	30.35092497	29.78364989	1.908216933
30.11631986	0.319356419	30.43567628	29.79696344	1.945452267
30.05180417	0.265870725	30.31767489	29.78593344	1.982796267
30.09309418	0.339530942	30.43262512	29.75356324	2.02019685
30.15502998	0.315580378	30.47061036	29.8394496	2.057463267
30.16277161	0.368465461	30.53123707	29.79430615	2.094789083
30.16277201	0.344651549	30.50742355	29.81812046	2.1320779
30.15761066	0.383555882	30.54116654	29.77405477	2.169298183
30.17567538	0.382826696	30.55850208	29.79284868	2.207395817
30.16277201	0.422913283	30.58568529	29.73985872	2.24473985
30.16019094	0.396566244	30.55675718	29.76362469	2.28205195
30.17309471	0.424155512	30.59725022	29.74893919	2.319376667
30.13180391	0.42176212	30.55356603	29.71004179	2.356752017
30.18857875	0.410689755	30.59926851	29.777889	2.3941242
30.19373971	0.386185843	30.57992555	29.80755387	2.431412317
30.16019094	0.452345006	30.61253594	29.70784593	2.468927
30.21954607	0.38739168	30.60693775	29.83215439	2.50622395
30.19890106	0.419577513	30.61847857	29.77932355	2.54353745
30.22728848	0.393463728	30.62075221	29.83382476	2.58083905
30.19890106	0.396481933	30.59538299	29.80241913	2.6181017
30.24019147	0.342129791	30.58232126	29.89806168	2.655513417
30.17825566	0.396078589	30.57433425	29.78217707	2.692875183
