moisture	avg	smoch	horni	spodni	time
0.570776256	0.559970835	0.005093724	0.565064559	0.554877111	0
0.570679607	0.559669776	0.004884186	0.564553961	0.55478559	0.03735045
0.570541452	0.560387823	0.004664641	0.565052464	0.555723182	0.074648267
0.571142347	0.560542247	0.004745758	0.565288004	0.555796489	0.11195375
0.571170018	0.560410964	0.004837903	0.565248868	0.555573061	0.1493437
0.571280502	0.562094271	0.00443656	0.566530831	0.557657711	0.186782683
0.571439461	0.561337506	0.005380468	0.566717974	0.555957038	0.224423183
0.570831498	0.561075053	0.004777584	0.565852636	0.556297469	0.26195065
0.570285844	0.560897377	0.004696611	0.565593988	0.556200765	0.299426617
0.569235845	0.562156018	0.00420626	0.566362278	0.557949758	0.33692455
0.570002566	0.561430183	0.004385236	0.565815419	0.557044946	0.374420433
0.57057599	0.562063342	0.004561121	0.566624462	0.557502221	0.411949567
0.568959534	0.561576929	0.004418866	0.565995795	0.557158064	0.449408233
0.567177351	0.561692747	0.003890321	0.565583068	0.557802427	0.486957233
0.570195964	0.561059588	0.004430566	0.565490154	0.556629022	0.52433085
0.569588101	0.562009271	0.004310319	0.56631959	0.557698952	0.561862133
0.568980238	0.562557542	0.003438037	0.565995578	0.559119505	0.599314533
0.567246429	0.562943601	0.002956909	0.56590051	0.559986692	0.63691075
0.568897324	0.560920629	0.004214095	0.565134724	0.556706534	0.674427617
0.568869753	0.563345013	0.003542503	0.566887516	0.55980251	0.711946667
0.568945699	0.560588529	0.005013015	0.565601545	0.555575514	0.749482983
0.569470649	0.562256371	0.003679268	0.565935639	0.558577103	0.787039367
0.568924995	0.562789177	0.0041449	0.566934078	0.558644277	0.824501533
0.569367032	0.560966912	0.004469046	0.565435957	0.556497866	0.86209575
0.566452036	0.561214012	0.004008344	0.565222356	0.557205668	0.8995653
0.567384584	0.561352971	0.004316106	0.565669077	0.557036865	0.937146167
0.568427617	0.559592564	0.004871385	0.564463948	0.554721179	0.974656833
0.569284219	0.561847171	0.004270636	0.566117806	0.557576535	1.012224017
0.568648685	0.560549923	0.005096882	0.565646805	0.555453041	1.049747333
0.568890457	0.559916876	0.004561334	0.564478209	0.555355542	1.087260933
0.568372374	0.559067546	0.005044934	0.56411248	0.554022612	1.1246129
0.56798548	0.558627416	0.006011546	0.564638962	0.55261587	1.161955583
0.567902666	0.559098364	0.005372577	0.564470941	0.553725786	1.1992657
0.569049315	0.559924552	0.004955239	0.564879791	0.554969313	1.236551667
0.568683224	0.560472712	0.004316689	0.564789401	0.556156022	1.2738897
0.569277251	0.560935982	0.004913547	0.565849529	0.556022436	1.3111287
0.568807543	0.560812488	0.004922827	0.565735315	0.555889662	1.3484834
0.568137471	0.560835629	0.004759751	0.565595381	0.556075878	1.385904033
0.567999315	0.560758418	0.004434531	0.565192948	0.556323887	1.42325545
0.567647059	0.55883591	0.005066704	0.563902614	0.553769206	1.4605374
0.566942448	0.558086933	0.005866929	0.563953862	0.552220005	1.497780617
0.566762886	0.558704628	0.004785494	0.563490122	0.553919134	1.535064067
0.567647059	0.558681487	0.005452157	0.564133643	0.55322933	1.572411433
0.566051306	0.559245111	0.005139216	0.564384326	0.554105895	1.609657783
0.568565772	0.560928306	0.004171063	0.565099369	0.556757243	1.646941
0.568980238	0.561067265	0.004540355	0.56560762	0.55652691	1.6842266
0.569394703	0.559592564	0.00499206	0.564584623	0.554600504	1.721514383
0.568344703	0.556843757	0.006417473	0.563261229	0.550426284	1.758776767
0.56746053	0.559229646	0.00495377	0.564183416	0.554275876	1.796065917
0.568151306	0.56173903	0.003691161	0.56543019	0.558047869	1.833424917
