Temp5	Temp6	Temp7	Temp8	Weight	Temp3	Temp4	time	moisture
28.88644028	29.39201546	28.95125771	28.93829536	599.0162354	64.6655426	63.09696579	0	0.55
28.93829536	29.45683289	28.9771843	28.9771843	598.8806763	65.2359314	63.83588028	0.036412533	0.549572773
28.88644028	29.45683289	28.64013481	28.96422195	598.7514648	66.66191101	63.31734467	0.072799883	0.549165552
28.88644028	29.5475769	28.64013481	29.00311279	598.8563232	93.85921478	70.70650482	0.10929485	0.549496022
29.09385681	29.45683289	28.80866051	29.00311279	577.9545288	108.6245804	89.77573395	0.1458718	0.483622104
28.96422195	29.52165031	28.96422195	29.02903938	536.2345581	117.7638016	103.6206894	0.1888404	0.352137796
29.01607513	29.49572372	28.95125771	28.93829536	499.0744629	121.523201	112.1117401	0.225475083	0.235024354
28.93829536	29.53461266	29.23645401	28.91236877	276.4454956	124.7510986	117.5434265	0.26210025	-0.466611219
28.89940453	29.48275948	29.04200172	29.06793022	431.6576843	126.6956177	121.3676453	0.298704133	0.022554204
28.95125771	29.5475769	29.04200172	29.06793022	409.0647278	130.1309357	124.2455292	0.335449967	-0.048649567
28.91236877	29.41794205	28.88644028	28.95125771	170.0684052	130.4031677	125.0751877	0.37196515	-0.801868359
28.9771843	29.45683289	28.93829536	28.96422195	-217.0344849	121.0824432	107.0430374	0.408637417	-2.021858557
28.91236877	29.46979523	29.00311279	29.04200172	-217.1869659	116.4674606	91.22763824	0.445382783	-2.022339115
28.93829536	29.56053925	29.02903938	28.95125771	-217.399826	108.0282593	80.63650513	0.48200935	-2.023009963
28.89940453	29.58646774	28.9771843	28.93829536	-217.2367401	107.9893646	75.11407471	0.518567133	-2.022495983
28.93829536	29.36608887	29.00311279	28.88644028	-217.5703125	104.8392487	71.41949463	0.5552065	-2.023547267
28.9771843	29.5475769	29.08089256	28.96422195	-217.3108673	106.1096725	67.78973389	0.591737817	-2.022729602
28.8345871	29.56053925	29.00311279	28.95125771	-217.3161621	104.774437	66.02670288	0.628291983	-2.022746289
28.91236877	29.40497971	28.95125771	29.01607513	-217.2801514	100.1075974	63.7580986	0.664878667	-2.022632798
28.87347794	29.45683289	28.9771843	29.00311279	-217.2452087	102.6095428	62.70806122	0.701416883	-2.022522673
28.82162476	29.53461266	28.96422195	28.89940453	-217.1499023	104.0355148	60.99688721	0.737964517	-2.022222306
28.87347794	29.45683289	28.95125771	29.08089256	-217.2610931	110.9450302	60.02462769	0.77452085	-2.022572734
28.91236877	29.49572372	28.91236877	29.04200172	-217.2505035	105.7726212	59.66165161	0.8110946	-2.02253936
28.84755135	29.48275948	28.96422195	28.9771843	-217.1467285	107.1078568	60.02462769	0.84785205	-2.022212303
29.02903938	29.46979523	29.00311279	28.9771843	-198.1404572	101.2743073	59.72647095	0.88443125	-1.962312299
28.95125771	29.45683289	29.01607513	28.9771843	-210.6108093	99.14830017	59.50609207	0.92423085	-2.001613756
28.78273392	29.41794205	28.95125771	28.96422195	-215.0393982	94.59812927	59.24682236	0.9612401	-2.015570859
28.88644028	29.5475769	28.93829536	28.93829536	-216.9709473	96.49079132	59.29867554	0.997884383	-2.021658313
28.96422195	29.46979523	28.96422195	29.01607513	-217.1403809	100.3927917	59.42831039	1.03447685	-2.022192298
28.74384308	29.49572372	28.96422195	29.00311279	-217.184845	102.4799042	58.9745903	1.070975217	-2.022332431
28.87347794	29.45683289	28.93829536	28.89940453	-217.3182831	105.8763275	58.66346741	1.107548183	-2.022752973
28.88644028	29.56053925	28.93829536	29.02903938	283.3223877	107.8208466	59.02644348	1.14417345	-0.444938064
28.84755135	29.58646774	28.91236877	28.96422195	598.5471191	98.68161774	58.9486618	1.1807454	0.548521537
28.96422195	29.61239433	29.00311279	28.95125771	598.4136963	93.8332901	59.31163788	1.217277717	0.548101043
28.91236877	29.5475769	29.01607513	28.8345871	598.4115601	97.02229309	59.15607834	1.253941133	0.54809431
28.87347794	29.45683289	29.00311279	29.04200172	598.319397	91.84988403	59.59683609	1.290525067	0.54780385
29.10681915	29.48275948	28.95125771	28.96422195	598.3787231	93.36660767	61.1654129	1.3270811	0.547990822
28.93829536	29.5475769	28.9771843	28.89940453	598.4624023	104.2818222	62.6432457	1.363615133	0.548254545
28.96422195	29.71610069	28.95125771	28.93829536	598.3660278	109.907959	67.43972015	1.400243267	0.547950811
28.89940453	29.74202919	29.01607513	29.09385681	598.2993164	116.3767166	84.83666229	1.43678815	0.547740564
28.93829536	29.74202919	28.91236877	28.9771843	598.3999023	118.463829	95.63520813	1.47335435	0.54805757
28.96422195	29.67721176	28.87347794	28.9771843	598.1637573	120.6935425	106.667099	1.509881133	0.547313337
28.96422195	29.72906494	28.96422195	28.91236877	598.2908325	129.3142395	118.9175491	1.5464612	0.547713827
28.82162476	29.8586998	28.88644028	28.93829536	598.2177734	141.3702393	131.1161499	1.583081917	0.547483574
28.87347794	30.001297	28.91236877	29.02903938	598.3903809	152.1947021	142.1480408	1.6197125	0.548027562
28.95125771	30.001297	28.95125771	28.96422195	598.5545044	163.317337	153.516983	1.656128217	0.548544813
29.01607513	30.23464012	29.01607513	28.95125771	598.2686157	171.5361633	164.4710846	1.692654617	0.547643808
28.89940453	30.24760246	28.96422195	29.00311279	598.3035278	179.0290375	173.5714264	1.729072483	0.547753837
28.89940453	30.58465195	29.06793022	28.91236877	598.5216675	185.1477814	181.8161774	1.765584383	0.548441324
28.93829536	30.40316391	29.13274574	29.02903938	598.4793091	189.723877	189.4646149	1.802068333	0.548307828
