Temp5	Temp6	Temp7	Temp8	Weight	Temp3	Temp4	time	moisture
30.49390793	29.28830719	55.65594864	29.02903938	600.722229	176.6048737	60.54316711	0	0.55
30.40316391	29.19756317	56.09670639	28.57531929	600.7571411	177.7326965	60.64687347	0.036774667	0.550110029
30.36427307	29.21052742	56.65413284	29.02903938	600.8757324	179.4438629	60.64687347	0.07371655	0.55048378
30.4290905	29.21052742	57.41897583	29.01607513	600.8937378	180.5198364	60.85429001	0.110510783	0.550540526
30.40316391	29.32719803	58.08011246	28.96422195	600.746582	181.58284	60.77650833	0.148024867	0.550076751
30.5976162	29.27534485	58.10603714	28.96422195	600.7338867	182.1921234	60.91910553	0.184622867	0.55003674
30.68836021	29.02903938	58.39123535	29.01607513	600.7434082	182.5291595	61.12652206	0.221260733	0.550066748
30.70132256	29.23645401	59.31163788	29.06793022	600.8344727	183.138443	61.15244675	0.25777075	0.550353746
30.62354279	29.22348976	59.57090759	28.93829536	600.8439941	183.618103	61.2820816	0.2942182	0.550383754
30.70132256	29.23645401	59.35052872	29.00311279	600.7306519	184.0588531	61.34690094	0.330701883	0.550026545
30.62354279	29.06793022	59.57090759	29.17163658	600.6470337	184.6940613	61.43764496	0.367116217	0.549763015
30.64946938	29.32719803	59.86906815	28.91236877	600.6247559	185.1088867	61.51542282	0.403614667	0.549692804
30.66243362	29.35312462	59.92092133	29.01607513	600.5114746	185.3811188	61.64505768	0.440166667	0.549335788
30.83095741	29.28830719	59.62276077	29.30127144	600.2763672	185.6922455	61.76173019	0.4766169	0.548594826
30.88281059	29.15867424	59.33756638	28.91236877	600.6279907	186.0292969	61.94321823	0.5131335	0.549702999
31.07726288	29.30127144	59.091259	29.02903938	600.6809082	186.3533783	62.08581543	0.549579133	0.549869774
30.83095741	29.34016228	58.31345367	29.10681915	600.4649048	186.7811737	62.13766861	0.5860387	0.549189019
30.97355461	29.19756317	57.91158676	29.00311279	600.4976807	186.9885864	62.35804749	0.6224548	0.549292315
31.10318947	29.28830719	56.48560715	29.09385681	600.4818115	187.1182251	62.35804749	0.6590192	0.549242302
31.18097115	29.28830719	55.6170578	28.96422195	600.4320679	187.5589752	62.51361084	0.695667533	0.549085531
31.20689774	29.2623806	55.09851837	29.04200172	600.4129639	187.7664032	62.65620804	0.732167117	0.549025323
31.20689774	29.39201546	54.92999649	28.9771843	600.3727417	188.2071533	62.65620804	0.768713117	0.548898559
31.40135002	29.22348976	54.64479828	29.00311279	600.4172363	187.8182526	62.7858429	0.80513445	0.549038788
31.41431236	29.28830719	54.43738556	29.02903938	600.3886108	188.3497467	62.94140244	0.841544083	0.548948572
31.07726288	29.30127144	54.19107819	28.96422195	600.3770142	188.5830994	63.03214645	0.878014817	0.548912024
31.66061783	29.28830719	53.98366547	28.95125771	600.3049927	188.7256927	63.12289047	0.914526683	0.548685042
31.62172699	29.23645401	53.97069931	29.09385681	600.2954712	188.8812561	63.20067215	0.950988983	0.548655034
31.85507011	29.2623806	53.90588379	28.96422195	600.1694336	188.9720001	63.30437851	0.987590667	0.548257815
31.86803246	29.28830719	54.17811584	29.02903938	600.1344604	189.1405182	63.36919785	1.0241417	0.548147594
31.91988754	29.23645401	54.69665146	28.95125771	599.9925537	189.2442322	63.51179504	1.060665367	0.547700362
32.20508194	29.32719803	54.94295883	29.06793022	599.9586792	189.3868256	63.6414299	1.097080817	0.547593603
32.26990128	29.22348976	54.90406799	29.01607513	600.1292114	189.3997955	63.74513626	1.133540833	0.548131051
32.37360764	29.28830719	55.15037537	29.02903938	600.0582275	189.3349762	63.96551514	1.170038483	0.547907339
32.58102417	29.4309063	55.38371658	28.95125771	600.1990967	189.723877	64.08218384	1.206447233	0.548351301
32.80139923	29.45683289	55.68187332	29.04200172	600.1546021	189.5942383	64.22478485	1.242991367	0.548211072
32.76251221	29.46979523	55.65594864	29.00311279	600.0635376	189.3997955	64.39331055	1.27945675	0.547924074
33.03474426	29.41794205	55.87632751	29.00311279	600.2202759	189.723877	64.35441589	1.315922233	0.548418049
33.30697632	29.52165031	55.9022522	28.9771843	600.1027222	189.8275909	64.65258026	1.352419583	0.548047567
33.28104782	29.40497971	56.45968246	28.95125771	600.1143799	190.281311	64.7822113	1.389023217	0.548084308
33.60513306	29.45683289	56.70598602	28.74384308	600.0560913	190.4109344	64.97666168	1.425528317	0.547900606
33.82551193	29.4309063	56.74487686	28.95125771	599.9893799	190.281311	65.10630035	1.462098867	0.547690359
34.05885315	29.48275948	56.88747406	29.04200172	600.1619873	190.2294464	65.13222504	1.498658383	0.548234347
34.2144165	29.46979523	56.83562088	28.93829536	600.3462524	190.177597	65.36557007	1.535153183	0.548815075
34.55146408	29.65128517	56.90044022	29.06793022	600.1619873	190.281311	65.50816345	1.5716473	0.548234347
34.79777145	29.41794205	56.91340256	29.01607513	599.8866577	190.2294464	65.57298279	1.6080685	0.547366621
35.03111267	29.46979523	56.82265854	28.93829536	600.0476685	190.4368744	65.66372681	1.644678667	0.547874061
35.26445389	29.59943008	57.08192825	29.02903938	599.9343262	190.6831665	65.78039551	1.681144883	0.547516852
35.48483276	29.46979523	57.08192825	29.02903938	600.2531128	190.9942932	65.81929016	1.717659417	0.548521537
35.808918	29.4309063	57.08192825	28.9771843	600.1831665	190.9942932	65.84521484	1.75423145	0.548301095
35.96448135	29.49572372	57.19859695	28.96422195	599.9248047	191.1239319	65.96188354	1.790704267	0.547486844
36.22375107	29.56053925	57.14674377	28.96422195	599.9883423	191.2406006	66.05262756	1.827282867	0.547687089
