avg	smoch	horni	spodni	time
30.24277253	0.135723656	30.37849619	30.10704888	0
30.30987008	0.064979733	30.37484981	30.24489035	0.03735045
30.20148213	0.124193848	30.32567598	30.07728828	0.074648267
30.27890198	0.09145935	30.37036133	30.18744263	0.11195375
30.17309471	0.115813901	30.28890861	30.0572808	0.1493437
30.28922468	0.157694726	30.44691941	30.13152996	0.186782683
30.20664309	0.100414453	30.30705754	30.10622863	0.224423183
30.21954685	0.168317792	30.38786465	30.05122906	0.26195065
30.28664361	0.157399303	30.44404292	30.12924431	0.299426617
30.29696671	0.179425296	30.476392	30.11754141	0.33692455
30.35374116	0.097040837	30.450782	30.25670032	0.374420433
30.41567696	0.107027077	30.52270404	30.30864989	0.411949567
30.47245142	0.136701827	30.60915324	30.33574959	0.449408233
30.45438669	0.13921205	30.59359874	30.31517464	0.486957233
30.46987074	0.178495238	30.64836598	30.2913755	0.52433085
30.44148332	0.14689369	30.58837701	30.29458963	0.561862133
30.51890356	0.199229882	30.71813345	30.31967368	0.599314533
30.58600072	0.167524716	30.75352543	30.418476	0.63691075
30.58341965	0.114542433	30.69796208	30.46887722	0.674427617
30.6711622	0.18255363	30.85371583	30.48860857	0.711946667
30.70471097	0.118429663	30.82314064	30.58628131	0.749482983
30.66858192	0.103741845	30.77232376	30.56484007	0.787039367
30.72793665	0.125739224	30.85367588	30.60219743	0.824501533
30.66083989	0.118823194	30.77966309	30.5420167	0.86209575
30.59890409	0.144471062	30.74337515	30.45443303	0.8995653
30.74858166	0.147662371	30.89624403	30.60091929	0.937146167
30.70987272	0.141678815	30.85155153	30.5681939	0.974656833
30.8053569	0.181272091	30.98662899	30.62408481	1.012224017
30.7434211	0.208635408	30.95205651	30.53478569	1.049747333
30.79761488	0.276456152	31.07407103	30.52115872	1.087260933
30.82084095	0.175902044	30.99674299	30.64493891	1.1246129
30.7537438	0.231023737	30.98476753	30.52272006	1.161955583
30.8466477	0.216160542	31.06280824	30.63048716	1.1992657
30.90342215	0.181639145	31.0850613	30.72178301	1.236551667
30.95761593	0.333095666	31.2907116	30.62452026	1.2738897
30.93438986	0.202445964	31.13683582	30.73194389	1.3111287
30.89309945	0.238344518	31.13144397	30.65475493	1.3484834
30.9601966	0.285673642	31.24587025	30.67452296	1.385904033
31.03761646	0.305718398	31.34333485	30.73189806	1.42325545
31.05310011	0.267518883	31.320619	30.78558123	1.4605374
31.17697251	0.296158391	31.4731309	30.88081411	1.497780617
31.19761791	0.286162719	31.48378062	30.91145519	1.535064067
31.25955371	0.384735011	31.64428872	30.8748187	1.572411433
31.24148898	0.300622248	31.54211123	30.94086674	1.609657783
31.33181221	0.342168625	31.67398084	30.98964359	1.646941
31.34987615	0.331953705	31.68182985	31.01792244	1.6842266
31.36277992	0.376687858	31.73946777	30.98609206	1.721514383
31.47374854	0.408609294	31.88235784	31.06513925	1.758776767
31.55374868	0.477902983	32.03165166	31.07584569	1.796065917
31.59762015	0.490774258	32.08839441	31.10684589	1.833424917
31.60278111	0.577457331	32.18023844	31.02532377	1.870804883
31.73955648	0.598946765	32.33850324	31.14060971	1.908216933
31.77826621	0.507124512	32.28539072	31.2711417	1.945452267
31.95117064	0.623484905	32.57465554	31.32768573	1.982796267
32.08278466	0.657101257	32.73988592	31.4256834	2.02019685
32.14730114	0.777820135	32.92512128	31.36948101	2.057463267
32.18601126	0.805580245	32.99159151	31.38043102	2.094789083
32.35375356	0.878387668	33.23214122	31.47536589	2.1320779
32.31762489	0.82632007	33.14394496	31.49130482	2.169298183
32.52149664	0.854483607	33.37598024	31.66701303	2.207395817
32.63246565	0.916749358	33.54921501	31.7157163	2.24473985
32.87762701	1.050408144	33.92803516	31.82721887	2.28205195
32.99633806	1.113189799	34.10952786	31.88314826	2.319376667
